nom,name,an2014,an2013,an2012,iso,capitale,latitude,longitude
Afghanistan,Afghanistan,128,128,150,AFG,Kabul,34.28N,69.11E
Afrique du Sud,South Africa,42,52,42,ZAF,Pretoria,25.44S,28.12E
Albanie,Albania,85,102,96,ALB,Tirane,41.18N,19.49E
Algérie,Algeria,121,125,122,DZA,Algiers,36.42N,03.08E
Allemagne,Germany,14,17,16,DEU,Berlin,52.30N,13.25E
Andorre,Andorra,5,5,-,AND,Andorra la Vella,42.31N,1.32E
Angola,Angola,124,130,132,AGO,Luanda,08.50S,13.15E
Arabie saoudite,Saudi Arabia,164,163,158,SAU,Riyadh,24.41N,46.42E
Argentine,Argentina,55,54,47,ARG,Buenos Aires,36.30S,60.00W
Arménie,Armenia,78,74,77,ARM,Yerevan,40.10N,44.31E
Australie,Australia,28,26,30,AUS,Canberra,35.15S,149.08E
Autriche,Austria,12,12,5,AUT,Vienna,48.12N,16.22E
Azerbaïdjan,Azerbaijan,160,156,162,AZE,Baku,40.29N,49.56E
Bahreïn,Bahrain,163,165,173,BHR,Manama,26.10N,50.30E
Bangladesh,Bangladesh,146,144,129,BGD,Dhaka,23.43N,90.26E
Bélarus,Belarus,157,157,168,BLR,Minsk,53.52N,27.30E
Belgique,Belgium,23,21,20,BEL,Brussels,50.51N,04.21E
Bélize,Belize,29,-,-,BLZ,Belmopan,17.15N,88.46W
Bénin,Benin,75,79,91,BEN,Porto Novo,06.23N,02.42E
Bhoutan,Bhutan,92,82,70,BTN,Thimphu,27.31N,89.45E
Birmanie,Myanmar,145,151,169,MMR,Yangon,16.45N,96.20E
Bolivie,Bolivia,94,109,108,BOL,La Paz,16.20S,68.10W
Bosnie-Herzégovine,Bosnia and Herzegovina,66,68,58,BIH,Sarajevo,43.52N,18.26E
Botswana,Botswana,41,40,42,BWA,Gaborone,24.45S,25.57E
Brésil,Brazil,111,108,99,BRA,Brasilia,15.47S,47.55W
Brunei,Brunei Darussalam,117,122,125,BRN,Bandar Seri Begawan,04.52N,115.00E
Bulgarie,Bulgaria,100,87,80,BGR,Sofia,42.45N,23.20E
Burkina Faso,Burkina Faso,52,46,68,BFA,Ouagadougou,12.15N,01.30W
Burundi,Burundi,142,132,130,BDI,Bujumbura,03.16S,29.18E
Cambodge,Cambodia,144,143,117,KHM,Phnom Penh,11.33N,104.55E
Cameroun,Cameroon,131,120,97,CMR,Yaounde,03.50N,11.35E
Canada,Canada,18,20,10,CAN,Ottawa,45.27N,75.42W
Cap-Vert,Cape Verde,24,25,9,CPV,Praia,15.02N,23.34W
Chili,Chile,58,60,80,CHL,Santiago,33.24S,70.40W
Chine,China,175,173,174,CHN,Beijing,39.55N,116.20E
Chypre,Cyprus,25,24,16,CYP,Nicosia,35.10N,33.25E
Chypre (partie Nord),Cyprus North,83,94,102,NCYP,Nicosie,35.10N,33.21E
Colombie,Colombia,126,129,143,COL,Bogota,04.34N,74.00W
Comores,Comoros,53,51,45,COM,Moroni,11.41N,43.16E
Congo,Republic of the Congo,82,76,90,COG,Brazzaville,4.14S,15.1450E
Corée du Nord,DPRK,179,178,178,PRK,Pyongyang,39.2N,125.45E
Corée du Sud,Republic of Korea,57,50,44,KOR,Séoul,37.35N,127E
Costa Rica,Costa Rica,21,18,19,CRI,San Jose,09.55N,84.02W
Côte d'Ivoire,Côte d'Ivoire,101,96,159,CIV,Yamoussoukro,6.51N,5.18W
Croatie,Croatia,65,64,68,HRV,Zagreb,45.50N,15.58E
Cuba,Cuba,170,171,167,CUB,Havana,23.08N,82.22W
Danemark,Denmark,7,6,10,DNK,Copenhagen,55.41N,12.34E
Djibouti,Djibouti,169,167,159,DJI,Djibouti,11.08N,42.20E
Egypte,Egypt,159,158,166,EGY,Cairo,30.01N,31.14E
El Salvador,El Salvador,38,38,37,SLV,San Salvador,13.40N,89.10W
Emirats arabes unis,United Arab Emirates,118,114,112,ARE,Abu Dhabi,24.28N,54.22E
Equateur,Ecuador,95,119,104,ECU,Quito,00.15S,78.35W
Erythrée,Eritrea,180,179,179,ERI,Asmara,15.19N,38.55E
Espagne,Spain,35,36,39,ESP,Madrid,40.25N,03.45W
Estonie,Estonia,11,11,3,EST,Tallinn,59.22N,24.48E
Etats-Unis,United States,46,32,47,USA,Washington,38.53N,77.02W
Ethiopie,Ethiopia,143,137,127,ETH,Addis Ababa,09.02N,38.42E
Fidji,Fiji,107,107,117,FJI,Suva,18.06S,178.30E
Finlande,Finland,1,1,1,FIN,Helsinki,60.15N,25.03E
France,France,39,37,38,FRA,Paris,48.50N,02.20E
